date,state,location,id,year,month,day,population,tot_case,tot_vaccine,covid_rate,avg_vaccine
2022-02-24,Ohio,OH,39,2022,2,24,11799448,2649692,17195084,0.2245606743637499,1.4572786794772095
2022-02-25,Ohio,OH,39,2022,2,25,11799448,2651304,17206640,0.2246972909241178,1.4582580473256037
2022-02-26,Ohio,OH,39,2022,2,26,11799448,2652634,17216600,0.22481000806139406,1.4591021546092664
2022-02-27,Ohio,OH,39,2022,2,27,11799448,2653211,17225423,0.22485890865403196,1.459849901453017
2022-02-28,Ohio,OH,39,2022,2,28,11799448,2653940,17231363,0.2249206912052157,1.4603533148330328
2022-03-01,Ohio,OH,39,2022,3,1,11799448,2654991,17234576,0.22500976316858212,1.4606256157067687
2022-03-02,Ohio,OH,39,2022,3,2,11799448,2656162,17241813,0.2251090050992216,1.4612389494830607
2022-03-03,Ohio,OH,39,2022,3,3,11799448,2657358,17250407,0.22521036577304293,1.4619672886392652
2022-03-04,Ohio,OH,39,2022,3,4,11799448,2658276,17259736,0.22528816602268173,1.462757918845017
2022-03-05,Ohio,OH,39,2022,3,5,11799448,2659138,17267990,0.22536122028759312,1.4634574430939482
2022-03-06,Ohio,OH,39,2022,3,6,11799448,2659498,17276301,0.22539173018941225,1.4641617980773338
2022-03-07,Ohio,OH,39,2022,3,7,11799448,2659929,17281088,0.22542825732186794,1.464567495021801
2022-03-08,Ohio,OH,39,2022,3,8,11799448,2660728,17283669,0.22549597235396096,1.4647862340678988
2022-03-09,Ohio,OH,39,2022,3,9,11799448,2661557,17290315,0.22556622987787225,1.4653494807553709
2022-03-10,Ohio,OH,39,2022,3,10,11799448,2662425,17297241,0.22563979264114728,1.4659364573664802
2022-03-11,Ohio,OH,39,2022,3,11,11799448,2663019,17304361,0.22569013397914886,1.4665398754246808
2022-03-12,Ohio,OH,39,2022,3,12,11799448,2663518,17311637,0.22573242409305927,1.4671565144403365
2022-03-13,Ohio,OH,39,2022,3,13,11799448,2663835,17318408,0.22575928975660556,1.4677303548437182
2022-03-14,Ohio,OH,39,2022,3,14,11799448,2663835,17322904,0.22575928975660556,1.4681113896175482
